home_team,away_team,season,prediction,prediction_letter,prob_home,prob_draw,prob_away
AFC Bournemouth,Brighton and Hove Albion,2017-2018,Home,H,0.6021546125411987,0.19639097154140472,0.20145441591739655
AFC Bournemouth,Manchester City,2017-2018,Away,A,0.23646849393844604,0.23279529809951782,0.5307362079620361
AFC Bournemouth,Everton,2017-2018,Home,H,0.3860090374946594,0.2921042740345001,0.3218866288661957
AFC Bournemouth,West Bromwich Albion,2017-2018,Home,H,0.4959677457809448,0.28917360305786133,0.21485860645771027
AFC Bournemouth,Huddersfield Town,2017-2018,Home,H,0.6021546125411987,0.19639097154140472,0.20145441591739655
AFC Bournemouth,Newcastle United,2017-2018,Home,H,0.48175516724586487,0.27379220724105835,0.24445264041423798
AFC Bournemouth,Arsenal,2017-2018,Away,A,0.2570904791355133,0.2629854083061218,0.47992417216300964
AFC Bournemouth,Swansea City,2017-2018,Home,H,0.45498502254486084,0.2788058817386627,0.2662091553211212
AFC Bournemouth,Liverpool,2017-2018,Away,A,0.23673562705516815,0.23967571556568146,0.5235886573791504
AFC Bournemouth,Tottenham Hotspur,2017-2018,Away,A,0.24472279846668243,0.2411402314901352,0.5141369700431824
AFC Bournemouth,Chelsea,2017-2018,Away,A,0.2787141799926758,0.2370193600654602,0.48426640033721924
AFC Bournemouth,Crystal Palace,2017-2018,Home,H,0.4527663290500641,0.28298521041870117,0.26424846053123474
AFC Bournemouth,Southampton,2017-2018,Home,H,0.37884920835494995,0.2819436192512512,0.3392072021961212
AFC Bournemouth,West Ham United,2017-2018,Home,H,0.479434072971344,0.27191299200057983,0.24865299463272095
AFC Bournemouth,Stoke City,2017-2018,Home,H,0.4885750114917755,0.27080652117729187,0.2406185269355774
Leicester City,Watford,2017-2018,Home,H,0.4495406448841095,0.2976847290992737,0.2527746558189392
Leicester City,AFC Bournemouth,2017-2018,Home,H,0.38386043906211853,0.2730633020401001,0.34307625889778137
Leicester City,Manchester United,2017-2018,Away,A,0.2631336450576782,0.23129597306251526,0.5055704116821289
Leicester City,Burnley,2017-2018,Home,H,0.444808691740036,0.3056173026561737,0.2495739609003067
Leicester City,Brighton and Hove Albion,2017-2018,Home,H,0.5254046320915222,0.21545098721981049,0.2591443359851837
Leicester City,Manchester City,2017-2018,Away,A,0.2261829376220703,0.22238974273204803,0.5514273047447205
Leicester City,Everton,2017-2018,Away,A,0.34208473563194275,0.2723281681537628,0.38558703660964966
Leicester City,West Bromwich Albion,2017-2018,Home,H,0.4299522340297699,0.3169134259223938,0.2531343400478363
Leicester City,Huddersfield Town,2017-2018,Home,H,0.5254046320915222,0.21545098721981049,0.2591443359851837
Leicester City,Newcastle United,2017-2018,Home,H,0.42938026785850525,0.29051923751831055,0.2801004946231842
Leicester City,Arsenal,2017-2018,Away,A,0.2425106316804886,0.22779814898967743,0.529691219329834
Leicester City,Swansea City,2017-2018,Home,H,0.41627752780914307,0.2651817202568054,0.3185408115386963
Leicester City,Liverpool,2017-2018,Away,A,0.22723811864852905,0.2266494184732437,0.5461124777793884
Leicester City,Tottenham Hotspur,2017-2018,Away,A,0.22184163331985474,0.2381283938884735,0.5400300025939941
Leicester City,Chelsea,2017-2018,Away,A,0.2498389631509781,0.22636862099170685,0.5237923860549927
Leicester City,Crystal Palace,2017-2018,Home,H,0.40818968415260315,0.28466641902923584,0.307143896818161
Leicester City,Southampton,2017-2018,Away,A,0.3388736844062805,0.2734885811805725,0.387637734413147
Leicester City,West Ham United,2017-2018,Home,H,0.4123125672340393,0.2938101589679718,0.2938772737979889
Leicester City,Stoke City,2017-2018,Home,H,0.41013702750205994,0.30269622802734375,0.2871667444705963
Manchester United,Watford,2017-2018,Home,H,0.6345040798187256,0.22526074945926666,0.14023514091968536
Manchester United,AFC Bournemouth,2017-2018,Home,H,0.5421686768531799,0.2937087416648865,0.1641225814819336
Manchester United,Leicester City,2017-2018,Home,H,0.6131262183189392,0.228311225771904,0.1585625261068344
Manchester United,Burnley,2017-2018,Home,H,0.6622452735900879,0.19848380982875824,0.13927093148231506
Manchester United,Brighton and Hove Albion,2017-2018,Home,H,0.6888986229896545,0.18011842668056488,0.13098293542861938
Manchester United,Manchester City,2017-2018,Away,A,0.3480532169342041,0.2861141562461853,0.3658326268196106
Manchester United,Everton,2017-2018,Home,H,0.5211588144302368,0.2882150113582611,0.19062621891498566
Manchester United,West Bromwich Albion,2017-2018,Home,H,0.6490459442138672,0.21786510944366455,0.13308893144130707
Manchester United,Huddersfield Town,2017-2018,Home,H,0.6888986229896545,0.18011842668056488,0.13098293542861938
Manchester United,Newcastle United,2017-2018,Home,H,0.6108701229095459,0.2432832270860672,0.1458466649055481
Manchester United,Arsenal,2017-2018,Home,H,0.402607262134552,0.306376188993454,0.2910165786743164
Manchester United,Swansea City,2017-2018,Home,H,0.595477283000946,0.24976888298988342,0.15475381910800934
Manchester United,Liverpool,2017-2018,Away,A,0.34307774901390076,0.29369720816612244,0.3632250130176544
Manchester United,Tottenham Hotspur,2017-2018,Home,H,0.359551340341568,0.3320998251438141,0.3083488643169403
Manchester United,Chelsea,2017-2018,Home,H,0.4293879568576813,0.2917931377887726,0.27881893515586853
Manchester United,Crystal Palace,2017-2018,Home,H,0.6075679659843445,0.21939940750598907,0.17303262650966644
Manchester United,Southampton,2017-2018,Home,H,0.5178498029708862,0.27951762080192566,0.20263256132602692
Manchester United,West Ham United,2017-2018,Home,H,0.62660813331604,0.22289608418941498,0.15049581229686737
Manchester United,Stoke City,2017-2018,Home,H,0.6114940643310547,0.23715730011463165,0.15134868025779724
Burnley,Watford,2017-2018,Home,H,0.4238607585430145,0.2896057367324829,0.2865334451198578
Burnley,AFC Bournemouth,2017-2018,Home,H,0.393392413854599,0.25031450390815735,0.35629308223724365
Burnley,Leicester City,2017-2018,Home,H,0.38001206517219543,0.27984702587127686,0.3401409089565277
Burnley,Manchester United,2017-2018,Away,A,0.26611363887786865,0.22592124342918396,0.5079651474952698
Burnley,Brighton and Hove Albion,2017-2018,Home,H,0.5097537040710449,0.2223256528377533,0.26792067289352417
Burnley,Manchester City,2017-2018,Away,A,0.22293151915073395,0.21513958275318146,0.561928927898407
Burnley,Everton,2017-2018,Away,A,0.3147853910923004,0.2751327157020569,0.4100819230079651
Burnley,West Bromwich Albion,2017-2018,Home,H,0.41190996766090393,0.3100894093513489,0.2780006229877472
Burnley,Huddersfield Town,2017-2018,Home,H,0.5097537040710449,0.2223256528377533,0.26792067289352417
Burnley,Newcastle United,2017-2018,Home,H,0.426509290933609,0.27950018644332886,0.29399046301841736
