home_team,away_team,prob_home,prob_draw,prob_away
Liverpool,Queens Park Rangers,0.43658036,0.27725303,0.2861666
Liverpool,Southampton,0.43658036,0.27725303,0.2861666
Liverpool,Crystal Palace,0.43658036,0.27725303,0.2861666
Liverpool,Cardiff City,0.43658036,0.27725303,0.2861666
Liverpool,Leicester City,0.43658036,0.27725303,0.2861666
Liverpool,AFC Bournemouth,0.43658036,0.27725303,0.2861666
Arsenal,Manchester United,0.43658036,0.27725303,0.2861666
Arsenal,Chelsea,0.43658036,0.27725303,0.2861666
Arsenal,Liverpool,0.43658036,0.27725303,0.2861666
Arsenal,Tottenham Hotspur,0.43658036,0.27725303,0.2861666
Arsenal,Bolton Wanderers,0.43658036,0.27725303,0.2861666
Arsenal,Reading,0.43658036,0.27725303,0.2861666
Arsenal,Blackburn Rovers,0.43658036,0.27725303,0.2861666
Arsenal,Everton,0.43658036,0.27725303,0.2861666
Arsenal,Portsmouth,0.43658036,0.27725303,0.2861666
Arsenal,Middlesbrough,0.43658036,0.27725303,0.2861666
Arsenal,West Ham United,0.43658036,0.27725303,0.2861666
Arsenal,Aston Villa,0.43658036,0.27725303,0.2861666
Arsenal,Manchester City,0.43658036,0.27725303,0.2861666
Arsenal,Newcastle United,0.43658036,0.27725303,0.2861666
Arsenal,Sheffield United,0.43658036,0.27725303,0.2861666
Arsenal,Wigan Athletic,0.43658036,0.27725303,0.2861666
Arsenal,Charlton Athletic,0.43658036,0.27725303,0.2861666
Arsenal,Fulham,0.43658036,0.27725303,0.2861666
Arsenal,Watford,0.43658036,0.27725303,0.2861666
Arsenal,Sunderland,0.43658036,0.27725303,0.2861666
Arsenal,Birmingham City,0.43658036,0.27725303,0.2861666
Arsenal,Derby County,0.43658036,0.27725303,0.2861666
Arsenal,Stoke City,0.43658036,0.27725303,0.2861666
Arsenal,Hull City,0.43658036,0.27725303,0.2861666
Arsenal,West Bromwich Albion,0.43658036,0.27725303,0.2861666
Arsenal,Wolverhampton Wanderers,0.43658036,0.27725303,0.2861666
Arsenal,Burnley,0.43658036,0.27725303,0.2861666
Arsenal,Blackpool,0.43658036,0.27725303,0.2861666
Arsenal,Norwich City,0.43658036,0.27725303,0.2861666
Arsenal,Swansea City,0.43658036,0.27725303,0.2861666
Arsenal,Queens Park Rangers,0.43658036,0.27725303,0.2861666
Arsenal,Southampton,0.43658036,0.27725303,0.2861666
Arsenal,Crystal Palace,0.43658036,0.27725303,0.2861666
Arsenal,Cardiff City,0.43658036,0.27725303,0.2861666
Arsenal,Leicester City,0.43658036,0.27725303,0.2861666
Arsenal,AFC Bournemouth,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Manchester United,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Chelsea,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Liverpool,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Arsenal,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Bolton Wanderers,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Reading,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Blackburn Rovers,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Everton,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Portsmouth,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Middlesbrough,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,West Ham United,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Aston Villa,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Manchester City,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Newcastle United,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Sheffield United,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Wigan Athletic,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Charlton Athletic,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Fulham,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Watford,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Sunderland,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Birmingham City,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Derby County,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Stoke City,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Hull City,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,West Bromwich Albion,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Wolverhampton Wanderers,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Burnley,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Blackpool,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Norwich City,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Swansea City,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Queens Park Rangers,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Southampton,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Crystal Palace,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Cardiff City,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,Leicester City,0.43658036,0.27725303,0.2861666
Tottenham Hotspur,AFC Bournemouth,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Manchester United,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Chelsea,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Liverpool,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Arsenal,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Tottenham Hotspur,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Reading,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Blackburn Rovers,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Everton,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Portsmouth,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Middlesbrough,0.43658036,0.27725303,0.2861666
Bolton Wanderers,West Ham United,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Aston Villa,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Manchester City,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Newcastle United,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Sheffield United,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Wigan Athletic,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Charlton Athletic,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Fulham,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Watford,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Sunderland,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Birmingham City,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Derby County,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Stoke City,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Hull City,0.43658036,0.27725303,0.2861666
Bolton Wanderers,West Bromwich Albion,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Wolverhampton Wanderers,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Burnley,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Blackpool,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Norwich City,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Swansea City,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Queens Park Rangers,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Southampton,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Crystal Palace,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Cardiff City,0.43658036,0.27725303,0.2861666
Bolton Wanderers,Leicester City,0.43658036,0.27725303,0.2861666
Bolton Wanderers,AFC Bournemouth,0.43658036,0.27725303,0.2861666
Reading,Manchester United,0.43658036,0.27725303,0.2861666
Reading,Chelsea,0.43658036,0.27725303,0.2861666
Reading,Liverpool,0.43658036,0.27725303,0.2861666
Reading,Arsenal,0.43658036,0.27725303,0.2861666
Reading,Tottenham Hotspur,0.43658036,0.27725303,0.2861666
Reading,Bolton Wanderers,0.43658036,0.27725303,0.2861666
Reading,Blackburn Rovers,0.43658036,0.27725303,0.2861666
Reading,Everton,0.43658036,0.27725303,0.2861666
Reading,Portsmouth,0.43658036,0.27725303,0.2861666
Reading,Middlesbrough,0.43658036,0.27725303,0.2861666
Reading,West Ham United,0.43658036,0.27725303,0.2861666
Reading,Aston Villa,0.43658036,0.27725303,0.2861666
Reading,Manchester City,0.43658036,0.27725303,0.2861666
Reading,Newcastle United,0.43658036,0.27725303,0.2861666
Reading,Sheffield United,0.43658036,0.27725303,0.2861666
Reading,Wigan Athletic,0.43658036,0.27725303,0.2861666
Reading,Charlton Athletic,0.43658036,0.27725303,0.2861666
Reading,Fulham,0.43658036,0.27725303,0.2861666
Reading,Watford,0.43658036,0.27725303,0.2861666
Reading,Sunderland,0.43658036,0.27725303,0.2861666
Reading,Birmingham City,0.43658036,0.27725303,0.2861666
Reading,Derby County,0.43658036,0.27725303,0.2861666
Reading,Stoke City,0.43658036,0.27725303,0.2861666
Reading,Hull City,0.43658036,0.27725303,0.2861666
Reading,West Bromwich Albion,0.43658036,0.27725303,0.2861666
Reading,Wolverhampton Wanderers,0.43658036,0.27725303,0.2861666
Reading,Burnley,0.43658036,0.27725303,0.2861666
Reading,Blackpool,0.43658036,0.27725303,0.2861666
Reading,Norwich City,0.43658036,0.27725303,0.2861666
Reading,Swansea City,0.43658036,0.27725303,0.2861666
Reading,Queens Park Rangers,0.43658036,0.27725303,0.2861666
Reading,Southampton,0.43658036,0.27725303,0.2861666
Reading,Crystal Palace,0.43658036,0.27725303,0.2861666
Reading,Cardiff City,0.43658036,0.27725303,0.2861666
Reading,Leicester City,0.43658036,0.27725303,0.2861666
Reading,AFC Bournemouth,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Manchester United,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Chelsea,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Liverpool,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Arsenal,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Tottenham Hotspur,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Bolton Wanderers,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Reading,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Everton,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Portsmouth,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Middlesbrough,0.43658036,0.27725303,0.2861666
Blackburn Rovers,West Ham United,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Aston Villa,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Manchester City,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Newcastle United,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Sheffield United,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Wigan Athletic,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Charlton Athletic,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Fulham,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Watford,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Sunderland,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Birmingham City,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Derby County,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Stoke City,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Hull City,0.43658036,0.27725303,0.2861666
Blackburn Rovers,West Bromwich Albion,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Wolverhampton Wanderers,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Burnley,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Blackpool,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Norwich City,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Swansea City,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Queens Park Rangers,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Southampton,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Crystal Palace,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Cardiff City,0.43658036,0.27725303,0.2861666
Blackburn Rovers,Leicester City,0.43658036,0.27725303,0.2861666
Blackburn Rovers,AFC Bournemouth,0.43658036,0.27725303,0.2861666
Everton,Manchester United,0.43658036,0.27725303,0.2861666
Everton,Chelsea,0.43658036,0.27725303,0.2861666
Everton,Liverpool,0.43658036,0.27725303,0.2861666
Everton,Arsenal,0.43658036,0.27725303,0.2861666
Everton,Tottenham Hotspur,0.43658036,0.27725303,0.2861666
Everton,Bolton Wanderers,0.43658036,0.27725303,0.2861666
Everton,Reading,0.43658036,0.27725303,0.2861666
Everton,Blackburn Rovers,0.43658036,0.27725303,0.2861666
Everton,Portsmouth,0.43658036,0.27725303,0.2861666
Everton,Middlesbrough,0.43658036,0.27725303,0.2861666
Everton,West Ham United,0.43658036,0.27725303,0.2861666
Everton,Aston Villa,0.43658036,0.27725303,0.2861666
Everton,Manchester City,0.43658036,0.27725303,0.2861666
Everton,Newcastle United,0.43658036,0.27725303,0.2861666
Everton,Sheffield United,0.43658036,0.27725303,0.2861666
Everton,Wigan Athletic,0.43658036,0.27725303,0.2861666
Everton,Charlton Athletic,0.43658036,0.27725303,0.2861666
Everton,Fulham,0.43658036,0.27725303,0.2861666
Everton,Watford,0.43658036,0.27725303,0.2861666
Everton,Sunderland,0.43658036,0.27725303,0.2861666
Everton,Birmingham City,0.43658036,0.27725303,0.2861666
Everton,Derby County,0.43658036,0.27725303,0.2861666
Everton,Stoke City,0.43658036,0.27725303,0.2861666
Everton,Hull City,0.43658036,0.27725303,0.2861666
Everton,West Bromwich Albion,0.43658036,0.27725303,0.2861666
Everton,Wolverhampton Wanderers,0.43658036,0.27725303,0.2861666
Everton,Burnley,0.43658036,0.27725303,0.2861666
Everton,Blackpool,0.43658036,0.27725303,0.2861666
Everton,Norwich City,0.43658036,0.27725303,0.2861666
Everton,Swansea City,0.43658036,0.27725303,0.2861666
Everton,Queens Park Rangers,0.43658036,0.27725303,0.2861666
Everton,Southampton,0.43658036,0.27725303,0.2861666
Everton,Crystal Palace,0.43658036,0.27725303,0.2861666
Everton,Cardiff City,0.43658036,0.27725303,0.2861666
Everton,Leicester City,0.43658036,0.27725303,0.2861666
Everton,AFC Bournemouth,0.43658036,0.27725303,0.2861666
Portsmouth,Manchester United,0.43658036,0.27725303,0.2861666
Portsmouth,Chelsea,0.43658036,0.27725303,0.2861666
Portsmouth,Liverpool,0.43658036,0.27725303,0.2861666
Portsmouth,Arsenal,0.43658036,0.27725303,0.2861666
Portsmouth,Tottenham Hotspur,0.43658036,0.27725303,0.2861666
Portsmouth,Bolton Wanderers,0.43658036,0.27725303,0.2861666
Portsmouth,Reading,0.43658036,0.27725303,0.2861666
Portsmouth,Blackburn Rovers,0.43658036,0.27725303,0.2861666
Portsmouth,Everton,0.43658036,0.27725303,0.2861666
Portsmouth,Middlesbrough,0.43658036,0.27725303,0.2861666
Portsmouth,West Ham United,0.43658036,0.27725303,0.2861666
Portsmouth,Aston Villa,0.43658036,0.27725303,0.2861666
Portsmouth,Manchester City,0.43658036,0.27725303,0.2861666
Portsmouth,Newcastle United,0.43658036,0.27725303,0.2861666
Portsmouth,Sheffield United,0.43658036,0.27725303,0.2861666
Portsmouth,Wigan Athletic,0.43658036,0.27725303,0.2861666
Portsmouth,Charlton Athletic,0.43658036,0.27725303,0.2861666
Portsmouth,Fulham,0.43658036,0.27725303,0.2861666
Portsmouth,Watford,0.43658036,0.27725303,0.2861666
Portsmouth,Sunderland,0.43658036,0.27725303,0.2861666
Portsmouth,Birmingham City,0.43658036,0.27725303,0.2861666
Portsmouth,Derby County,0.43658036,0.27725303,0.2861666
Portsmouth,Stoke City,0.43658036,0.27725303,0.2861666
Portsmouth,Hull City,0.43658036,0.27725303,0.2861666
Portsmouth,West Bromwich Albion,0.43658036,0.27725303,0.2861666
Portsmouth,Wolverhampton Wanderers,0.43658036,0.27725303,0.2861666
Portsmouth,Burnley,0.43658036,0.27725303,0.2861666
Portsmouth,Blackpool,0.43658036,0.27725303,0.2861666
Portsmouth,Norwich City,0.43658036,0.27725303,0.2861666
Portsmouth,Swansea City,0.43658036,0.27725303,0.2861666
Portsmouth,Queens Park Rangers,0.43658036,0.27725303,0.2861666
Portsmouth,Southampton,0.43658036,0.27725303,0.2861666
Portsmouth,Crystal Palace,0.43658036,0.27725303,0.2861666
Portsmouth,Cardiff City,0.43658036,0.27725303,0.2861666
Portsmouth,Leicester City,0.43658036,0.27725303,0.2861666
Portsmouth,AFC Bournemouth,0.43658036,0.27725303,0.2861666
Middlesbrough,Manchester United,0.43658036,0.27725303,0.2861666
Middlesbrough,Chelsea,0.43658036,0.27725303,0.2861666
Middlesbrough,Liverpool,0.43658036,0.27725303,0.2861666
Middlesbrough,Arsenal,0.43658036,0.27725303,0.2861666
Middlesbrough,Tottenham Hotspur,0.43658036,0.27725303,0.2861666
Middlesbrough,Bolton Wanderers,0.43658036,0.27725303,0.2861666
Middlesbrough,Reading,0.43658036,0.27725303,0.2861666
Middlesbrough,Blackburn Rovers,0.43658036,0.27725303,0.2861666
Middlesbrough,Everton,0.43658036,0.27725303,0.2861666
Middlesbrough,Portsmouth,0.43658036,0.27725303,0.2861666
Middlesbrough,West Ham United,0.43658036,0.27725303,0.2861666
Middlesbrough,Aston Villa,0.43658036,0.27725303,0.2861666
Middlesbrough,Manchester City,0.43658036,0.27725303,0.2861666
Middlesbrough,Newcastle United,0.43658036,0.27725303,0.2861666
Middlesbrough,Sheffield United,0.43658036,0.27725303,0.2861666
Middlesbrough,Wigan Athletic,0.43658036,0.27725303,0.2861666
Middlesbrough,Charlton Athletic,0.43658036,0.27725303,0.2861666
Middlesbrough,Fulham,0.43658036,0.27725303,0.2861666
Middlesbrough,Watford,0.43658036,0.27725303,0.2861666
Middlesbrough,Sunderland,0.43658036,0.27725303,0.2861666
Middlesbrough,Birmingham City,0.43658036,0.27725303,0.2861666
Middlesbrough,Derby County,0.43658036,0.27725303,0.2861666
Middlesbrough,Stoke City,0.43658036,0.27725303,0.2861666
Middlesbrough,Hull City,0.43658036,0.27725303,0.2861666
Middlesbrough,West Bromwich Albion,0.43658036,0.27725303,0.2861666
