team,expected_points
Tottenham Hotspur,72
Manchester City,71
Liverpool,71
Arsenal,67
Chelsea,66
Manchester United,65
Everton,54
Southampton,53
AFC Bournemouth,48
Crystal Palace,46
Stoke City,45
Leicester City,45
West Ham United,44
Swansea City,44
Newcastle United,43
West Bromwich Albion,43
Watford,42
Burnley,42
Brighton and Hove Albion,41
Huddersfield Town,41
