wins_home_prev,wins_away_prev,wins_diff_prev,losses_home_prev,losses_away_prev,losses_diff_prev,goals_home_prev,goals_away_prev,goals_diff_prev,total_yel_card_home_prev,total_yel_card_away_prev,total_yel_card_diff_prev,total_red_card_home_prev,total_red_card_away_prev,total_red_card_diff_prev,total_scoring_att_home_prev,total_scoring_att_away_prev,total_scoring_att_diff_prev,ontarget_scoring_att_home_prev,ontarget_scoring_att_away_prev,ontarget_scoring_att_diff_prev,hit_woodwork_home_prev,hit_woodwork_away_prev,hit_woodwork_diff_prev,att_hd_goal_home_prev,att_hd_goal_away_prev,att_hd_goal_diff_prev,att_pen_goal_home_prev,att_pen_goal_away_prev,att_pen_goal_diff_prev,att_freekick_goal_home_prev,att_freekick_goal_away_prev,att_freekick_goal_diff_prev,att_ibox_goal_home_prev,att_ibox_goal_away_prev,att_ibox_goal_diff_prev,att_obox_goal_home_prev,att_obox_goal_away_prev,att_obox_goal_diff_prev,goal_fastbreak_home_prev,goal_fastbreak_away_prev,goal_fastbreak_diff_prev,total_offside_home_prev,total_offside_away_prev,total_offside_diff_prev,clean_sheet_home_prev,clean_sheet_away_prev,clean_sheet_diff_prev,goals_conceded_home_prev,goals_conceded_away_prev,goals_conceded_diff_prev,saves_home_prev,saves_away_prev,saves_diff_prev,outfielder_block_home_prev,outfielder_block_away_prev,outfielder_block_diff_prev,interception_home_prev,interception_away_prev,interception_diff_prev,total_tackle_home_prev,total_tackle_away_prev,total_tackle_diff_prev,last_man_tackle_home_prev,last_man_tackle_away_prev,last_man_tackle_diff_prev,total_clearance_home_prev,total_clearance_away_prev,total_clearance_diff_prev,head_clearance_home_prev,head_clearance_away_prev,head_clearance_diff_prev,own_goals_home_prev,own_goals_away_prev,own_goals_diff_prev,penalty_conceded_home_prev,penalty_conceded_away_prev,penalty_conceded_diff_prev,pen_goals_conceded_home_prev,pen_goals_conceded_away_prev,pen_goals_conceded_diff_prev,total_pass_home_prev,total_pass_away_prev,total_pass_diff_prev,total_through_ball_home_prev,total_through_ball_away_prev,total_through_ball_diff_prev,total_long_balls_home_prev,total_long_balls_away_prev,total_long_balls_diff_prev,backward_pass_home_prev,backward_pass_away_prev,backward_pass_diff_prev,total_cross_home_prev,total_cross_away_prev,total_cross_diff_prev,corner_taken_home_prev,corner_taken_away_prev,corner_taken_diff_prev,touches_home_prev,touches_away_prev,touches_diff_prev,big_chance_missed_home_prev,big_chance_missed_away_prev,big_chance_missed_diff_prev,clearance_off_line_home_prev,clearance_off_line_away_prev,clearance_off_line_diff_prev,dispossessed_home_prev,dispossessed_away_prev,dispossessed_diff_prev,penalty_save_home_prev,penalty_save_away_prev,penalty_save_diff_prev,total_high_claim_home_prev,total_high_claim_away_prev,total_high_claim_diff_prev,punches_home_prev,punches_away_prev,punches_diff_prev,season,home_team,away_team,result
12.0,18.0,-6.0,21.0,5.0,16.0,45.0,54.0,-9.0,56.0,78.0,-22.0,0.0,2.0,-2.0,405.0,591.0,-186.0,145.0,210.0,-65.0,10.0,19.0,-9.0,15.0,9.0,6.0,3.0,3.0,0.0,2.0,1.0,1.0,40.0,47.0,-7.0,5.0,7.0,-2.0,1.0,5.0,-4.0,49.0,99.0,-50.0,8.0,17.0,-9.0,70.0,29.0,41.0,121.0,85.0,36.0,136.0,99.0,37.0,459.0,584.0,-125.0,635.0,690.0,-55.0,1.0,4.0,-3.0,1037.0,1112.0,-75.0,539.0,580.0,-41.0,5.0,1.0,4.0,9.0,5.0,4.0,6.0,4.0,2.0,16131.0,20245.0,-4114.0,15.0,99.0,-84.0,2579.0,2424.0,155.0,2495.0,3177.0,-682.0,864.0,848.0,16.0,196.0,217.0,-21.0,23728.0,28119.0,-4391.0,25.0,50.0,-25.0,2.0,1.0,1.0,446.0,389.0,57.0,1.0,1.0,0.0,72.0,32.0,40.0,16.0,4.0,12.0,2017-2018,Swansea City,Manchester United,A
12.0,11.0,1.0,16.0,20.0,-4.0,55.0,40.0,15.0,52.0,84.0,-32.0,3.0,5.0,-2.0,452.0,422.0,30.0,160.0,143.0,17.0,19.0,7.0,12.0,5.0,9.0,-4.0,7.0,3.0,4.0,0.0,0.0,0.0,51.0,36.0,15.0,5.0,4.0,1.0,2.0,0.0,2.0,53.0,61.0,-8.0,10.0,7.0,3.0,67.0,68.0,-1.0,123.0,121.0,2.0,150.0,140.0,10.0,460.0,512.0,-52.0,604.0,618.0,-14.0,1.0,0.0,1.0,1092.0,1016.0,76.0,616.0,494.0,122.0,5.0,2.0,3.0,5.0,4.0,1.0,2.0,3.0,-1.0,17152.0,14049.0,3103.0,51.0,22.0,29.0,2461.0,2600.0,-139.0,2651.0,2200.0,451.0,628.0,686.0,-58.0,193.0,164.0,29.0,24801.0,21547.0,3254.0,31.0,25.0,6.0,4.0,3.0,1.0,439.0,390.0,49.0,2.0,1.0,1.0,36.0,53.0,-17.0,21.0,35.0,-14.0,2017-2018,AFC Bournemouth,Watford,A
11.0,12.0,-1.0,20.0,17.0,3.0,39.0,43.0,-4.0,65.0,80.0,-15.0,2.0,0.0,2.0,391.0,399.0,-8.0,120.0,123.0,-3.0,5.0,11.0,-6.0,4.0,16.0,-12.0,6.0,1.0,5.0,3.0,1.0,2.0,31.0,37.0,-6.0,8.0,6.0,2.0,2.0,3.0,-1.0,101.0,59.0,42.0,10.0,6.0,4.0,55.0,51.0,4.0,151.0,116.0,35.0,221.0,150.0,71.0,539.0,537.0,2.0,638.0,605.0,33.0,2.0,0.0,2.0,1233.0,999.0,234.0,698.0,577.0,121.0,2.0,1.0,1.0,5.0,3.0,2.0,4.0,3.0,1.0,12558.0,11825.0,733.0,21.0,37.0,-16.0,3176.0,2653.0,523.0,1888.0,1798.0,90.0,650.0,766.0,-116.0,149.0,159.0,-10.0,19776.0,19042.0,734.0,18.0,24.0,-6.0,6.0,3.0,3.0,334.0,445.0,-111.0,1.0,0.0,1.0,29.0,53.0,-24.0,14.0,10.0,4.0,2017-2018,Burnley,West Bromwich Albion,A
12.0,0.0,12.0,18.0,0.0,18.0,48.0,0.0,48.0,72.0,0.0,72.0,1.0,0.0,1.0,433.0,0.0,433.0,145.0,0.0,145.0,8.0,0.0,8.0,10.0,0.0,10.0,4.0,0.0,4.0,1.0,0.0,1.0,39.0,0.0,39.0,9.0,0.0,9.0,4.0,0.0,4.0,65.0,0.0,65.0,9.0,0.0,9.0,63.0,0.0,63.0,131.0,0.0,131.0,141.0,0.0,141.0,538.0,0.0,538.0,677.0,0.0,677.0,3.0,0.0,3.0,1025.0,0.0,1025.0,567.0,0.0,567.0,2.0,0.0,2.0,4.0,0.0,4.0,4.0,0.0,4.0,13671.0,0.0,13671.0,25.0,0.0,25.0,2792.0,0.0,2792.0,1916.0,0.0,1916.0,731.0,0.0,731.0,197.0,0.0,197.0,21051.0,0.0,21051.0,29.0,0.0,29.0,2.0,0.0,2.0,310.0,0.0,310.0,0.0,0.0,0.0,45.0,0.0,45.0,16.0,0.0,16.0,2017-2018,Leicester City,Brighton and Hove Albion,H
22.0,12.0,10.0,6.0,21.0,-15.0,78.0,50.0,28.0,54.0,77.0,-23.0,0.0,0.0,0.0,640.0,439.0,201.0,236.0,138.0,98.0,18.0,8.0,10.0,12.0,13.0,-1.0,7.0,4.0,3.0,3.0,0.0,3.0,65.0,48.0,17.0,13.0,2.0,11.0,3.0,0.0,3.0,77.0,55.0,22.0,12.0,7.0,5.0,42.0,63.0,-21.0,73.0,108.0,-35.0,65.0,125.0,-60.0,410.0,553.0,-143.0,719.0,699.0,20.0,2.0,4.0,-2.0,877.0,1022.0,-145.0,451.0,557.0,-106.0,0.0,0.0,0.0,5.0,2.0,3.0,3.0,2.0,1.0,22290.0,13542.0,8748.0,57.0,20.0,37.0,2565.0,2729.0,-164.0,3291.0,2108.0,1183.0,812.0,872.0,-60.0,249.0,203.0,46.0,30071.0,21533.0,8538.0,35.0,27.0,8.0,0.0,7.0,-7.0,472.0,496.0,-24.0,2.0,0.0,2.0,36.0,56.0,-20.0,26.0,12.0,14.0,2017-2018,Liverpool,Crystal Palace,H
12.0,12.0,0.0,16.0,17.0,-1.0,41.0,47.0,-6.0,59.0,78.0,-19.0,2.0,5.0,-3.0,550.0,499.0,51.0,179.0,138.0,41.0,12.0,14.0,-2.0,4.0,14.0,-10.0,3.0,3.0,0.0,0.0,3.0,-3.0,37.0,41.0,-4.0,4.0,6.0,-2.0,0.0,3.0,-3.0,73.0,74.0,-1.0,14.0,10.0,4.0,48.0,64.0,-16.0,76.0,117.0,-41.0,128.0,112.0,16.0,514.0,614.0,-100.0,675.0,574.0,101.0,1.0,4.0,-3.0,914.0,1074.0,-160.0,505.0,625.0,-120.0,1.0,0.0,1.0,9.0,8.0,1.0,6.0,5.0,1.0,18245.0,15127.0,3118.0,57.0,37.0,20.0,2336.0,2622.0,-286.0,2784.0,2312.0,472.0,947.0,752.0,195.0,198.0,172.0,26.0,25881.0,22666.0,3215.0,34.0,24.0,10.0,4.0,3.0,1.0,455.0,367.0,88.0,1.0,1.0,0.0,26.0,47.0,-21.0,12.0,11.0,1.0,2017-2018,Southampton,West Ham United,H
11.0,23.0,-12.0,16.0,9.0,7.0,41.0,77.0,-36.0,70.0,68.0,2.0,2.0,3.0,-1.0,425.0,566.0,-141.0,137.0,201.0,-64.0,14.0,17.0,-3.0,7.0,17.0,-10.0,4.0,4.0,0.0,2.0,2.0,0.0,36.0,70.0,-34.0,5.0,7.0,-2.0,0.0,2.0,-2.0,85.0,95.0,-10.0,11.0,13.0,-2.0,56.0,44.0,12.0,127.0,124.0,3.0,159.0,95.0,64.0,497.0,536.0,-39.0,666.0,673.0,-7.0,3.0,5.0,-2.0,1009.0,838.0,171.0,505.0,484.0,21.0,5.0,1.0,4.0,3.0,10.0,-7.0,1.0,10.0,-9.0,14558.0,21394.0,-6836.0,54.0,129.0,-75.0,2507.0,1979.0,528.0,2170.0,2835.0,-665.0,718.0,697.0,21.0,188.0,227.0,-39.0,22087.0,28931.0,-6844.0,41.0,41.0,0.0,5.0,1.0,4.0,415.0,465.0,-50.0,1.0,0.0,1.0,40.0,36.0,4.0,23.0,10.0,13.0,2017-2018,Stoke City,Arsenal,H
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,Huddersfield Town,Newcastle United,H
26.0,30.0,-4.0,4.0,5.0,-1.0,86.0,85.0,1.0,62.0,72.0,-10.0,0.0,0.0,0.0,669.0,580.0,89.0,257.0,204.0,53.0,22.0,17.0,5.0,10.0,8.0,2.0,7.0,2.0,5.0,0.0,3.0,-3.0,74.0,73.0,1.0,12.0,12.0,0.0,3.0,7.0,-4.0,74.0,64.0,10.0,17.0,16.0,1.0,26.0,33.0,-7.0,85.0,69.0,16.0,99.0,78.0,21.0,314.0,510.0,-196.0,661.0,652.0,9.0,1.0,0.0,1.0,1003.0,839.0,164.0,526.0,500.0,26.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,20150.0,20125.0,25.0,45.0,103.0,-58.0,2662.0,2399.0,263.0,3130.0,2967.0,163.0,761.0,688.0,73.0,273.0,218.0,55.0,28150.0,27658.0,492.0,41.0,32.0,9.0,1.0,3.0,-2.0,484.0,436.0,48.0,0.0,0.0,0.0,21.0,38.0,-17.0,11.0,18.0,-7.0,2017-2018,Tottenham Hotspur,Chelsea,A
23.0,17.0,6.0,6.0,11.0,-5.0,80.0,62.0,18.0,71.0,72.0,-1.0,4.0,2.0,2.0,633.0,502.0,131.0,216.0,191.0,25.0,20.0,12.0,8.0,8.0,13.0,-5.0,7.0,3.0,4.0,2.0,2.0,0.0,73.0,59.0,14.0,7.0,3.0,4.0,6.0,2.0,4.0,89.0,82.0,7.0,12.0,13.0,-1.0,39.0,44.0,-5.0,64.0,96.0,-32.0,66.0,149.0,-83.0,504.0,461.0,43.0,643.0,712.0,-69.0,0.0,6.0,-6.0,905.0,1118.0,-213.0,544.0,628.0,-84.0,1.0,1.0,0.0,5.0,6.0,-1.0,2.0,3.0,-1.0,22706.0,17586.0,5120.0,124.0,38.0,86.0,1997.0,2968.0,-971.0,3534.0,2744.0,790.0,801.0,767.0,34.0,280.0,196.0,84.0,30363.0,25309.0,5054.0,48.0,28.0,20.0,4.0,9.0,-5.0,465.0,469.0,-4.0,2.0,2.0,0.0,26.0,56.0,-30.0,20.0,19.0,1.0,2017-2018,Manchester City,Everton,D
