home_team,away_team,season,prob_home,prob_draw,prob_away
Liverpool,Tottenham Hotspur,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Bolton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Reading,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Blackburn Rovers,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Everton,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Portsmouth,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Middlesbrough,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,West Ham United,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Aston Villa,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Manchester City,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Newcastle United,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Sheffield United,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Wigan Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Charlton Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Fulham,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Watford,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Sunderland,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Birmingham City,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Derby County,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Stoke City,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Hull City,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,West Bromwich Albion,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Wolverhampton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Burnley,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Blackpool,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Norwich City,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Swansea City,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Queens Park Rangers,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Southampton,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Crystal Palace,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Cardiff City,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,Leicester City,2017-2018,0.43658036,0.27725303,0.2861666
Liverpool,AFC Bournemouth,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Manchester United,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Chelsea,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Liverpool,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Tottenham Hotspur,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Bolton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Reading,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Blackburn Rovers,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Everton,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Portsmouth,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Middlesbrough,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,West Ham United,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Aston Villa,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Manchester City,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Newcastle United,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Sheffield United,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Wigan Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Charlton Athletic,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Fulham,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Watford,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Sunderland,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Birmingham City,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Derby County,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Stoke City,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Hull City,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,West Bromwich Albion,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Wolverhampton Wanderers,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Burnley,2017-2018,0.43658036,0.27725303,0.2861666
Arsenal,Blackpool,2017-2018,0.43658036,0.27725303,0.2861666
